Date,Open,High,Low,Close,Volume,Market Cap
0,2023-07-01,30471.847563048803,30641.2893232817,30328.86474880932,30590.0790715004,9086606733.0,593974448099.12
1,2023-06-30,30441.35375917607,31256.862699554396,29600.275939419127,30477.251282244626,26387306196.78,591758288455.82
2,2023-06-29,30086.186717423134,30796.250239651657,30057.203020300094,30445.3512260882,13180860821.04,591107911061.22
3,2023-06-28,30696.56148684194,30703.27997632466,29921.82283255985,30086.24618852492,14571500779.44,584108674470.97
4,2023-06-27,30274.321187966107,31006.78657697437,30236.651293804374,30688.163854246024,16428827943.78,595773660616.42
5,2023-06-26,30480.523973068975,30636.029429573337,29955.743293732452,30271.131016739706,16493186997.21,587650439314.87
6,2023-06-25,30545.150233460405,31041.272067035912,30327.94278399382,30480.26160573749,12703464114.44,591683600297.12
7,2023-06-24,30708.738453966012,30804.14936626635,30290.14647599631,30548.694824738708,12147822495.52,592983006395.12
8,2023-06-23,29896.383424039625,31389.538128135737,29845.21450520376,30695.46940748955,24115570084.62,595803665519.79
9,2023-06-22,29995.935766599723,30495.998447137208,29679.157402267716,29912.28171476797,20653160490.91,580578124574.23
10,2023-06-21,28311.31096035663,30737.329223589204,28283.410778834826,30027.296453500956,33346760979.13,582785323709.11
11,2023-06-20,26841.663530099617,28388.968417499313,26668.7916991755,28327.488264328193,22211859146.73,549771733917.47
12,2023-06-19,26335.442369620123,26984.611526472378,26312.83180762957,26851.028545521316,12826986222.15,521094554604.37
13,2023-06-18,26510.457605282787,26675.925532231984,26325.890181020062,26336.213003281027,9565695128.64,511079706782.86
14,2023-06-17,26328.679439009575,26769.39450192045,26174.491649574386,26510.67644688794,11090276850.25,514442327519.51
15,2023-06-16,25575.28259536865,26463.173064552917,25245.357683111808,26327.46239421728,16324646965.41,510862345346.3
16,2023-06-15,25121.673946191986,25735.308541637325,24797.167848615383,25576.394008263604,15837384409.1,496264527631.0
17,2023-06-14,25920.258089139683,26041.800109474858,24902.152701215833,25124.676679840817,14265717765.8,487476514345.28
18,2023-06-13,25902.940909862198,26376.35206932344,25728.365567508503,25918.728401268156,14143474486.27,502863816038.37
19,2023-06-12,25934.285597359547,26087.919073186164,25675.19759436772,25902.499869783027,11677889997.4,502523702241.22
20,2023-06-11,25854.031918451117,26203.43980788956,25668.98560722756,25940.16808034339,10732609602.85,503230985845.05
21,2023-06-10,26481.762544708385,26531.04516335344,25501.83624158554,25851.241003169685,19872933188.93,501477392550.51
22,2023-06-09,26505.92400824293,26770.289117335557,26339.31522115061,26480.37509359513,11015551640.28,513657047934.28
23,2023-06-08,26347.65345388678,26797.51278671825,26246.663756236292,26508.215902156466,11904824295.26,514170400421.06
24,2023-06-07,27235.649518401624,27332.180956518452,26146.98886820858,26345.99885126687,19530045081.91,510996613395.63
25,2023-06-06,25732.108862845296,27313.820682417092,25434.86713154732,27238.783726217396,21929670692.82,528291607015.54
26,2023-06-05,27123.10996380917,27129.98258376833,25445.1675071202,25760.096999536112,21513292646.48,499587457194.46
27,2023-06-04,27075.122073387673,27407.018569538297,26968.224140905622,27119.067193126313,9360912318.14,525920232790.71
28,2023-06-03,27252.323332614993,27317.051854088637,26958.003739925192,27075.129398442477,8385597470.09,525043616807.54
29,2023-06-02,26824.556981119476,27303.861687267836,26574.644421230823,27249.588949088356,14837414999.85,528404436446.27
30,2023-06-01,27218.412375564356,27346.105483136533,26671.72115584082,26819.97321970769,14678970414.58,520044966564.46
31,2023-05-31,27700.530088711763,27831.67780370857,26866.45394440047,27219.658608110938,15656371534.37,527773175252.01
32,2023-05-30,27745.123603261192,28044.75979798264,27588.502765755577,27702.348774779613,13251081851.39,537106462875.19
33,2023-05-29,28075.592141166908,28432.038716970947,27563.877211181793,27745.884443552008,15181308983.6,537924888418.9
34,2023-05-28,26871.158775260013,28193.44853283095,26802.751730160704,28085.64736074923,14545229578.02,544483610242.01
35,2023-05-27,26720.18251355914,26888.88337077603,26621.14140510269,26868.35381843118,7892015141.24,520858138785.14
36,2023-05-26,26474.182469275427,26916.669912854042,26343.949157498468,26719.29098461734,12711619225.45,517943916949.93
37,2023-05-25,26329.461512587262,26591.519183094402,25890.594475345944,26476.207531973054,13851122696.86,513207340509.25
38,2023-05-24,27224.60370246231,27224.60370246231,26106.576623117977,26334.818214436535,16299104428.23,510440697384.33
