Date,s&p500,gold,13w_treasury,usd_index
2013-07-01,1631.8900146484375,1212.9000244140625,0.03500000014901161,84.41999816894531
2013-07-08,1680.18994140625,1277.800048828125,0.029999999329447746,82.98999786376953
2013-07-15,1692.0899658203125,1293.300048828125,0.019999999552965164,82.58000183105469
2013-07-22,1691.6500244140625,1321.699951171875,0.014999999664723873,81.62000274658203
2013-07-29,1709.6700439453125,1310.5999755859375,0.029999999329447746,81.91000366210938
2013-08-05,1691.4200439453125,1312.9000244140625,0.04800000041723251,81.12999725341797
2013-08-12,1655.8299560546875,1371.699951171875,0.03999999910593033,81.26000213623047
2013-08-19,1663.5,1395.699951171875,0.02199999988079071,81.33999633789062
2013-08-26,1632.969970703125,1396.0999755859375,0.019999999552965164,82.08999633789062
2013-09-02,1655.1700439453125,1386.699951171875,0.014999999664723873,82.1500015258789
2013-09-09,1687.989990234375,1308.4000244140625,0.009999999776482582,81.44999694824219
2013-09-16,1709.9100341796875,1332.5,0.004999999888241291,80.44000244140625
2013-09-23,1691.75,1338.4000244140625,0.004999999888241291,80.2699966430664
2013-09-30,1690.5,1309.699951171875,0.017999999225139618,80.12000274658203
2013-10-07,1703.199951171875,1268.0,0.06300000101327896,80.36000061035156
2013-10-14,1744.5,1314.4000244140625,0.02500000037252903,79.63999938964844
2013-10-21,1759.77001953125,1352.4000244140625,0.029999999329447746,79.18000030517578
2013-10-28,1761.6400146484375,1313.0999755859375,0.032999999821186066,80.7300033569336
2013-11-04,1770.6099853515625,1284.5,0.052000001072883606,81.20999908447266
2013-11-11,1798.1800537109375,1287.300048828125,0.07000000029802322,80.83999633789062
2013-11-18,1804.760009765625,1244.0,0.06499999761581421,80.70999908447266
2013-11-25,1805.81005859375,1250.5999755859375,0.054999999701976776,80.68000030517578
2013-12-02,1805.0899658203125,1230.300048828125,0.052000001072883606,80.2699966430664
2013-12-09,1775.3199462890625,1235.699951171875,0.05999999865889549,80.20999908447266
2013-12-16,1818.3199462890625,1205.0999755859375,0.054999999701976776,80.58000183105469
2013-12-23,1841.4000244140625,1216.0999755859375,0.057999998331069946,80.38999938964844
2013-12-30,1831.3699951171875,1238.4000244140625,0.057999998331069946,80.79000091552734
2014-01-06,1842.3699951171875,1246.699951171875,0.032999999821186066,80.66000366210938
2014-01-13,1838.699951171875,1251.699951171875,0.029999999329447746,81.26000213623047
2014-01-20,1790.2900390625,1264.5,0.032999999821186066,80.45999908447266
2014-01-27,1782.5899658203125,1240.0999755859375,0.009999999776482582,81.2699966430664
2014-02-03,1797.02001953125,1263.300048828125,0.07199999690055847,80.69000244140625
2014-02-10,1838.6300048828125,1319.0,0.009999999776482582,80.12999725341797
2014-02-17,1836.25,1323.9000244140625,0.03500000014901161,80.23999786376953
2014-02-24,1859.449951171875,1321.4000244140625,0.0430000014603138,79.77999877929688
2014-03-03,1878.0400390625,1338.0999755859375,0.04500000178813934,79.72000122070312
2014-03-10,1841.1300048828125,1379.0,0.03999999910593033,79.44000244140625
2014-03-17,1866.52001953125,1336.0,0.04500000178813934,80.11000061035156
2014-03-24,1857.6199951171875,1293.800048828125,0.032999999821186066,80.18000030517578
2014-03-31,1865.0899658203125,1303.199951171875,0.019999999552965164,80.41999816894531
2014-04-07,1815.68994140625,1318.699951171875,0.029999999329447746,79.44999694824219
2014-04-14,1864.8499755859375,1293.4000244140625,0.02500000037252903,79.83000183105469
2014-04-21,1863.4000244140625,1300.699951171875,0.007000000216066837,79.7699966430664
2014-04-28,1881.1400146484375,1302.5999755859375,0.014999999664723873,79.5199966430664
2014-05-05,1878.47998046875,1287.300048828125,0.02199999988079071,79.9000015258789
2014-05-12,1877.8599853515625,1293.300048828125,0.014999999664723873,80.04000091552734
2014-05-19,1900.530029296875,1291.5999755859375,0.02800000086426735,80.38999938964844
2014-05-26,1923.5699462890625,1245.5999755859375,0.029999999329447746,80.37000274658203
2014-06-02,1949.43994140625,1252.0999755859375,0.02800000086426735,80.41000366210938
2014-06-09,1936.1600341796875,1273.699951171875,0.029999999329447746,80.58000183105469
2014-06-16,1962.8699951171875,1316.199951171875,0.009999999776482582,80.37000274658203
2014-06-23,1960.9599609375,1319.0,0.017999999225139618,80.04000091552734
2014-06-30,1985.43994140625,1320.4000244140625,0.003000000026077032,80.20999908447266
2014-07-07,1967.5699462890625,1337.0,0.014999999664723873,80.19000244140625
2014-07-14,1978.219970703125,1309.199951171875,0.009999999776482582,80.5199966430664
2014-07-21,1978.3399658203125,1303.0999755859375,0.019999999552965164,81.02999877929688
2014-07-28,1925.1500244140625,1293.5999755859375,0.017999999225139618,81.30000305175781
2014-08-04,1931.5899658203125,1308.9000244140625,0.019999999552965164,81.38999938964844
2014-08-11,1955.06005859375,1304.5,0.02199999988079071,81.41999816894531
2014-08-18,1988.4000244140625,1278.5999755859375,0.014999999664723873,82.33999633789062
2014-08-25,2003.3699951171875,1285.800048828125,0.017999999225139618,82.75
2014-09-01,2007.7099609375,1265.800048828125,0.019999999552965164,83.76000213623047
2014-09-08,1985.5400390625,1229.9000244140625,0.009999999776482582,84.23999786376953
2014-09-15,2010.4000244140625,1215.300048828125,0.007000000216066837,84.80000305175781
2014-09-22,1982.8499755859375,1214.0999755859375,0.004999999888241291,85.63999938964844
2014-09-29,1967.9000244140625,1192.199951171875,0.009999999776482582,86.69000244140625
2014-10-06,1906.1300048828125,1221.0,0.004999999888241291,85.91000366210938
2014-10-13,1886.760009765625,1238.300048828125,0.02199999988079071,85.19000244140625
2014-10-20,1964.5799560546875,1231.199951171875,0.004999999888241291,85.7300033569336
