Date,google_trends
2013-07-01,9.923664122137405
2013-07-08,7.633587786259542
2013-07-15,6.870229007633588
2013-07-22,8.396946564885496
2013-07-29,9.923664122137405
2013-08-05,9.923664122137405
2013-08-12,12.977099236641221
2013-08-19,9.923664122137405
2013-08-26,7.633587786259542
2013-09-02,6.106870229007633
2013-09-09,5.343511450381679
2013-09-16,6.106870229007633
2013-09-23,6.870229007633588
2013-09-30,12.977099236641221
2013-10-07,8.396946564885496
2013-10-14,8.396946564885496
2013-10-21,16.793893129770993
2013-10-28,26.717557251908396
2013-11-04,26.717557251908396
2013-11-11,29.770992366412212
2013-11-18,67.17557251908397
2013-11-25,80.1526717557252
2013-12-02,77.86259541984732
2013-12-09,55.72519083969466
2013-12-16,59.541984732824424
2013-12-23,38.93129770992366
2013-12-30,32.82442748091603
2014-01-06,50.38167938931297
2014-01-13,48.854961832061065
2014-01-20,51.14503816793893
2014-01-27,48.091603053435115
2014-02-03,44.274809160305345
2014-02-10,53.43511450381679
2014-02-17,45.80152671755725
2014-02-24,79.38931297709924
2014-03-03,64.8854961832061
2014-03-10,37.404580152671755
2014-03-17,29.770992366412212
2014-03-24,31.297709923664126
2014-03-31,26.717557251908396
2014-04-07,24.427480916030532
2014-04-14,23.66412213740458
2014-04-21,20.610687022900763
2014-04-28,19.083969465648856
2014-05-05,19.083969465648856
2014-05-12,17.557251908396946
2014-05-19,18.3206106870229
2014-05-26,22.137404580152673
2014-06-02,19.84732824427481
2014-06-09,20.610687022900763
2014-06-16,19.083969465648856
2014-06-23,16.793893129770993
2014-06-30,19.083969465648856
2014-07-07,19.083969465648856
2014-07-14,18.3206106870229
2014-07-21,17.557251908396946
2014-07-28,16.793893129770993
2014-08-04,17.557251908396946
2014-08-11,20.610687022900763
2014-08-18,19.84732824427481
2014-08-25,16.793893129770993
2014-09-01,19.083969465648856
2014-09-08,20.610687022900763
2014-09-15,18.3206106870229
2014-09-22,19.84732824427481
2014-09-29,19.84732824427481
2014-10-06,21.374045801526716
2014-10-13,20.610687022900763
2014-10-20,17.557251908396946
2014-10-27,16.030534351145036
2014-11-03,16.793893129770993
2014-11-10,20.610687022900763
2014-11-17,18.3206106870229
2014-11-24,16.793893129770993
2014-12-01,16.793893129770993
2014-12-08,19.083969465648856
2014-12-15,19.84732824427481
2014-12-22,20.610687022900763
2014-12-29,19.083969465648856
2015-01-05,60.30534351145038
2015-01-12,64.12213740458014
2015-01-19,55.72519083969466
2015-01-26,58.778625954198475
2015-02-02,52.67175572519084
2015-02-09,52.67175572519084
2015-02-16,54.19847328244275
2015-02-23,45.80152671755725
2015-03-02,51.14503816793893
2015-03-09,51.14503816793893
2015-03-16,55.72519083969466
2015-03-23,45.80152671755725
2015-03-30,47.32824427480916
2015-04-06,45.038167938931295
2015-04-13,44.274809160305345
2015-04-20,44.274809160305345
2015-04-27,40.458015267175576
2015-05-04,40.458015267175576
2015-05-11,43.51145038167939
2015-05-18,42.74809160305343
2015-05-25,43.51145038167939
2015-06-01,43.51145038167939
2015-06-08,38.16793893129771
2015-06-15,50.38167938931297
2015-06-22,43.51145038167939
2015-06-29,52.67175572519084
2015-07-06,65.64885496183206
2015-07-13,59.541984732824424
2015-07-20,51.908396946564885
2015-07-27,60.30534351145038
2015-08-03,59.541984732824424
2015-08-10,54.961832061068705
2015-08-17,55.72519083969466
2015-08-24,53.43511450381679
2015-08-31,53.43511450381679
2015-09-07,74.80916030534351
2015-09-14,58.778625954198475
2015-09-21,63.358778625954194
2015-09-28,53.43511450381679
2015-10-05,53.43511450381679
2015-10-12,51.14503816793893
2015-10-19,52.67175572519084
2015-10-26,59.541984732824424
2015-11-02,97.70992366412213
2015-11-09,61.06870229007634
2015-11-16,54.19847328244275
2015-11-23,54.19847328244275
2015-11-30,54.961832061068705
2015-12-07,79.38931297709924
2015-12-14,64.12213740458014
2015-12-21,58.778625954198475
2015-12-28,55.72519083969466
2016-01-04,52.67175572519084
2016-01-11,54.19847328244275
2016-01-18,58.01526717557252
2016-01-25,49.61832061068702
2016-02-01,45.80152671755725
2016-02-08,48.854961832061065
2016-02-15,56.48854961832062
2016-02-22,49.61832061068702
2016-02-29,51.14503816793893
2016-03-07,49.61832061068702
2016-03-14,50.38167938931297
2016-03-21,45.80152671755725
2016-03-28,47.32824427480916
2016-04-04,48.091603053435115
2016-04-11,47.32824427480916
2016-04-18,48.091603053435115
2016-04-25,54.19847328244275
2016-05-02,77.86259541984732
2016-05-09,54.19847328244275
2016-05-16,48.854961832061065
2016-05-23,51.14503816793893
2016-05-30,69.46564885496184
2016-06-06,64.12213740458014
2016-06-13,99.23664122137404
2016-06-20,98.47328244274809
2016-06-27,82.44274809160305
2016-07-04,78.62595419847328
2016-07-11,67.17557251908397
2016-07-18,54.19847328244275
2016-07-25,54.19847328244275
2016-08-01,79.38931297709924
2016-08-08,83.96946564885496
2016-08-15,70.99236641221374
2016-08-22,74.80916030534351
2016-08-29,67.93893129770993
2016-09-05,70.22900763358778
2016-09-12,67.93893129770993
2016-09-19,64.8854961832061
2016-09-26,53.43511450381679
2016-10-03,54.19847328244275
2016-10-10,58.778625954198475
2016-10-17,55.72519083969466
2016-10-24,62.59541984732825
2016-10-31,68.70229007633588
2016-11-07,67.93893129770993
2016-11-14,67.93893129770993
2016-11-21,64.8854961832061
2016-11-28,67.17557251908397
2016-12-05,68.70229007633588
2016-12-12,67.93893129770993
2016-12-19,88.54961832061069
2016-12-26,97.70992366412213
2017-01-02,3.0534351145038165
2017-01-09,2.2900763358778624
2017-01-16,0.0
