s&p500,gold,13w_treasury,usd_index
1631.8900146484375,1212.9000244140625,0.03500000014901161,84.41999816894531
1680.18994140625,1277.800048828125,0.029999999329447746,82.98999786376953
1692.0899658203125,1293.300048828125,0.019999999552965164,82.58000183105469
1691.6500244140625,1321.699951171875,0.014999999664723873,81.62000274658203
1709.6700439453125,1310.5999755859375,0.029999999329447746,81.91000366210938
1691.4200439453125,1312.9000244140625,0.04800000041723251,81.12999725341797
1655.8299560546875,1371.699951171875,0.03999999910593033,81.26000213623047
1663.5,1395.699951171875,0.02199999988079071,81.33999633789062
1632.969970703125,1396.0999755859375,0.019999999552965164,82.08999633789062
1655.1700439453125,1386.699951171875,0.014999999664723873,82.1500015258789
1687.989990234375,1308.4000244140625,0.009999999776482582,81.44999694824219
1709.9100341796875,1332.5,0.004999999888241291,80.44000244140625
1691.75,1338.4000244140625,0.004999999888241291,80.2699966430664
1690.5,1309.699951171875,0.017999999225139618,80.12000274658203
1703.199951171875,1268.0,0.06300000101327896,80.36000061035156
1744.5,1314.4000244140625,0.02500000037252903,79.63999938964844
1759.77001953125,1352.4000244140625,0.029999999329447746,79.18000030517578
1761.6400146484375,1313.0999755859375,0.032999999821186066,80.7300033569336
1770.6099853515625,1284.5,0.052000001072883606,81.20999908447266
1798.1800537109375,1287.300048828125,0.07000000029802322,80.83999633789062
1804.760009765625,1244.0,0.06499999761581421,80.70999908447266
1805.81005859375,1250.5999755859375,0.054999999701976776,80.68000030517578
1805.0899658203125,1230.300048828125,0.052000001072883606,80.2699966430664
1775.3199462890625,1235.699951171875,0.05999999865889549,80.20999908447266
1818.3199462890625,1205.0999755859375,0.054999999701976776,80.58000183105469
1841.4000244140625,1216.0999755859375,0.057999998331069946,80.38999938964844
1831.3699951171875,1238.4000244140625,0.057999998331069946,80.79000091552734
1842.3699951171875,1246.699951171875,0.032999999821186066,80.66000366210938
1838.699951171875,1251.699951171875,0.029999999329447746,81.26000213623047
1790.2900390625,1264.5,0.032999999821186066,80.45999908447266
1782.5899658203125,1240.0999755859375,0.009999999776482582,81.2699966430664
1797.02001953125,1263.300048828125,0.07199999690055847,80.69000244140625
1838.6300048828125,1319.0,0.009999999776482582,80.12999725341797
1836.25,1323.9000244140625,0.03500000014901161,80.23999786376953
1859.449951171875,1321.4000244140625,0.0430000014603138,79.77999877929688
1878.0400390625,1338.0999755859375,0.04500000178813934,79.72000122070312
1841.1300048828125,1379.0,0.03999999910593033,79.44000244140625
1866.52001953125,1336.0,0.04500000178813934,80.11000061035156
1857.6199951171875,1293.800048828125,0.032999999821186066,80.18000030517578
1865.0899658203125,1303.199951171875,0.019999999552965164,80.41999816894531
1815.68994140625,1318.699951171875,0.029999999329447746,79.44999694824219
1864.8499755859375,1293.4000244140625,0.02500000037252903,79.83000183105469
1863.4000244140625,1300.699951171875,0.007000000216066837,79.7699966430664
1881.1400146484375,1302.5999755859375,0.014999999664723873,79.5199966430664
1878.47998046875,1287.300048828125,0.02199999988079071,79.9000015258789
1877.8599853515625,1293.300048828125,0.014999999664723873,80.04000091552734
1900.530029296875,1291.5999755859375,0.02800000086426735,80.38999938964844
1923.5699462890625,1245.5999755859375,0.029999999329447746,80.37000274658203
1949.43994140625,1252.0999755859375,0.02800000086426735,80.41000366210938
1936.1600341796875,1273.699951171875,0.029999999329447746,80.58000183105469
1962.8699951171875,1316.199951171875,0.009999999776482582,80.37000274658203
1960.9599609375,1319.0,0.017999999225139618,80.04000091552734
1985.43994140625,1320.4000244140625,0.003000000026077032,80.20999908447266
1967.5699462890625,1337.0,0.014999999664723873,80.19000244140625
1978.219970703125,1309.199951171875,0.009999999776482582,80.5199966430664
